"ICTVnames" "accessionIDs"
"Streptococcus virus 7201" "NC_002185"
"Streptococcus virus DT1" "NC_002072"
"Streptococcus virus phiAbc2" "NC_013645"
"Streptococcus virus Sfi19" "NC_000871"
"Streptococcus virus Sfi21" "NC_000872"
"Gordonia virus Adgers" "NC_048695"
"Gordonia virus Beaver" "NC_048783"
"Gordonia virus Birksandsocks" "NC_047892"
"Gordonia virus Chelms" "NC_048768"
"Gordonia virus Flakey" "NC_047921"
"Gordonia virus Jellybones" "NC_048820"
"Gordonia virus John316" "NC_048851"
"Gordonia virus Monty" "NC_030924"
"Gordonia virus Sombrero" "NC_048746"
"Gordonia virus Stevefrench" "NC_048207"
"Arthrobacter virus Circum" "NC_041948"
"Arthrobacter virus Mudcat" "NC_031224"
"Arthrobacter virus Mufasa8" "NC_049478"
"Flavobacterium virus Filifjonk" "NC_048831"
"Flavobacterium virus Mumin" "NC_048837"
"Flavobacterium virus Mymlan" "NC_048838"
"Flavobacterium virus Snusmum" "NC_048841"
"Flavobacterium virus Tooticki" "NC_048844"
"Escherichia virus EC2" "NC_047742"
"Salmonella virus Lumpael" "NC_048113"
"Dinoroseobacter virus D5C" "NC_041921"
"Burkholderia virus BcepNazgul" "NC_005091"
"Microbacterium virus Neferthena" "NC_048038"
"Escherichia virus 2G7b" "NC_049954"
"Lactococcus virus P078" "NC_024215"
"Lactococcus virus P092" "NC_024203"
"Lactococcus virus P118" "NC_024208"
"Lactococcus virus P162" "NC_024214"
"Pseudomonas virus nickie" "NC_042091"
"Salmonella virus 9NA" "NC_025443"
"Salmonella virus SP069" "NC_042062"
"Gordonia virus Nyceirae" "NC_031004"
"Faecalibacterium virus Oengus" "NC_047916"
"Mycobacterium virus Baka" "NC_042316"
"Mycobacterium virus Courthouse" "NC_023690"
"Mycobacterium virus Littlee" "NC_042322"
"Mycobacterium virus Omega" "NC_004688"
"Mycobacterium virus Optimus" "NC_041844"
"Mycobacterium virus Thibault" "NC_023738"
"Gordonia virus BrutonGaster" "NC_048169"
"Gordonia virus OneUp" "NC_030917"
"Gordonia virus Orchid" "NC_030915"
"Thermus virus P23-45" "NC_009803"
"Thermus virus P74-26" "NC_009804"
"Propionibacterium virus ATCC29399BC" "NC_018851"
"Propionibacterium virus ATCC29399BT" "NC_018847"
"Propionibacterium virus Attacne" "NC_027629"
"Propionibacterium virus Keiki" "NC_041954"
"Propionibacterium virus Kubed" "NC_027625"
"Propionibacterium virus Lauchelly" "NC_027628"
"Propionibacterium virus MrAK" "NC_027620"
"Propionibacterium virus Ouroboros" "NC_027630"
"Propionibacterium virus P91" "NC_018834"
"Propionibacterium virus P105" "NC_018849"
"Propionibacterium virus P144" "NC_018839"
"Propionibacterium virus P1001" "NC_018840"
"Propionibacterium virus P1.1" "NC_018842"
"Propionibacterium virus P100A" "NC_018838"
"Propionibacterium virus P100D" "NC_018852"
"Propionibacterium virus P101A" "NC_018841"
"Propionibacterium virus P104A" "NC_018845"
"Propionibacterium virus PA6" "NC_009541"
"Propionibacterium virus Pacnes201215" "NC_027371"
"Propionibacterium virus PAD20" "NC_015454"
"Propionibacterium virus PAS50" "NC_015453"
"Propionibacterium virus PHL009M11" "NC_027336"
"Propionibacterium virus PHL025M00" "NC_027357"
"Propionibacterium virus PHL037M02" "NC_022339"
"Propionibacterium virus PHL041M10" "NC_027391"
"Propionibacterium virus PHL060L00" "NC_022338"
"Propionibacterium virus PHL067M01" "NC_027380"
"Propionibacterium virus PHL070N00" "NC_027333"
"Propionibacterium virus PHL071N05" "NC_022337"
"Propionibacterium virus PHL082M03" "NC_041955"
"Propionibacterium virus PHL092M00" "NC_027385"
"Propionibacterium virus PHL095N00" "NC_027401"
"Propionibacterium virus PHL111M01" "NC_022342"
"Propionibacterium virus PHL112N00" "NC_022334"
"Propionibacterium virus PHL113M01" "NC_022341"
"Propionibacterium virus PHL114L00" "NC_022340"
"Propionibacterium virus PHL116M00" "NC_027362"
"Propionibacterium virus PHL117M00" "NC_027403"
"Propionibacterium virus PHL117M01" "NC_041956"
"Propionibacterium virus PHL132N00" "NC_027367"
"Propionibacterium virus PHL141N00" "NC_027389"
"Propionibacterium virus PHL151M00" "NC_027347"
"Propionibacterium virus PHL151N00" "NC_041957"
"Propionibacterium virus PHL152M00" "NC_027386"
"Propionibacterium virus PHL163M00" "NC_027405"
"Propionibacterium virus PHL171M01" "NC_027346"
"Propionibacterium virus PHL179M00" "NC_027370"
"Propionibacterium virus PHL194M00" "NC_027392"
"Propionibacterium virus PHL199M00" "NC_027295"
"Propionibacterium virus PHL301M00" "NC_027354"
"Propionibacterium virus PHL308M00" "NC_027376"
"Propionibacterium virus Pirate" "NC_027623"
"Propionibacterium virus Procrass1" "NC_027626"
"Propionibacterium virus SKKY" "NC_027624"
"Propionibacterium virus Solid" "NC_027627"
"Propionibacterium virus Stormborn" "NC_027622"
"Propionibacterium virus Wizzo" "NC_027621"
"Pseudomonas virus PaMx28" "NC_028931"
"Pseudomonas virus PaMx74" "NC_028809"
"Enterobacteria virus 2851" "NC_049943"
"Enterobacteria virus YYZ2008" "NC_011356"
"Escherichia virus 1717" "NC_011357"
"Escherichia virus WGPS6" "NC_049945"
"Escherichia virus WGPS8" "NC_049944"
"Mycobacterium virus Papyrus" "NC_022053"
"Mycobacterium virus Send513" "NC_042033"
"Mycobacterium virus Patience" "NC_023691"
"Rhodococcus virus Pepy6" "NC_023735"
"Rhodococcus virus Poco6" "NC_023694"
"Enterococcus virus FL1" "NC_013646"
"Enterococcus virus FL2" "NC_013643"
"Enterococcus virus FL3" "NC_013648"
"Streptomyces virus Picard" "NC_047794"
"Microbacterium virus Pikmin" "NC_042119"
"Lactobacillus virus PLE2" "NC_031036"
"Lactobacillus virus iLp84" "NC_028783"
"Lactobacillus virus PLE3" "NC_031125"
"Corynebacterium virus Poushou" "NC_042139"
"Mycobacterium virus Predator" "NC_011039"
"Providencia virus PR1" "NC_041913"
"Listeria virus LP302" "NC_021539"
"Listeria virus PSA" "NC_003291"
"Psimunavirus psiM2" "NC_001902"
"Propionibacterium virus PFR1" "NC_031076"
"Lactococcus virus Q54" "NC_008364"
"Microbacterium phage KaiHaiDragon" "NC_048020"
"Microbacterium phage Paschalis" "NC_047976"
"Microbacterium phage Quhwah" "NC_047993"
"Streptomyces virus Darolandstone" "NC_048072"
"Streptomyces virus Raleigh" "NC_047795"
"Nodularia virus 2AV2" "NC_048637"
"Nodularia virus kac65v151" "NC_048756"
"Nodularia virus kac68v161" "NC_048757"
"Escherichia virus N15" "NC_001901"
"Rhodococcus virus Hiro" "NC_048669"
"Rhodococcus virus RER2" "NC_016653"
"Rhodococcus virus RGL3" "NC_016650"
"Rhodococcus virus Takoda" "NC_048708"
"Rhizobium virus P106B" "NC_023566"
"Strepomyces virus Drgrey" "NC_042016"
"Strepomyces virus Rima" "NC_041889"
"Staphylococcus virus CNPH82" "NC_008722"
"Staphylococcus virus CNPx" "NC_031241"
"Staphylococcus virus IME1348-01" "KY653120"
"Staphylococcus virus IPLA5" "NC_018281"
"Staphylococcus virus IPLA7" "NC_018284"
"Staphylococcus virus PH15" "NC_008723"
"Bacillus virus phi4J1" "NC_029008"
"Microbacterium virus Hendrix" "NC_047977"
"Gordonia virus Fryberger" "NC_048027"
"Gordonia virus Ronaldo" "NC_048028"
"Aeromonas virus pIS4A" "NC_042037"
"Streptomyces virus Rowa" "NC_047906"
"Gordonia virus DumpsterDude" "NC_053172"
"Gordonia virus Ruthy" "NC_048019"
"Streptomyces virus Jay2Jay" "NC_029098"
"Streptomyces virus Mildred21" "NC_042008"
"Streptomyces virus NootNoot" "NC_042009"
"Streptomyces virus Paradiddles" "NC_042010"
"Streptomyces virus Peebs" "NC_042011"
"Streptomyces virus Samisti12" "NC_042012"
"Pseudomonas virus SM1" "NC_041877"
"Corynebacterium virus Adelaide" "NC_048791"
"Corynebacterium virus Dina" "NC_048787"
"Corynebacterium virus SamW" "NC_048069"
"Corynebacterium virus StAB" "NC_048780"
"Corynebacterium virus Stiles" "NC_048789"
"Lactococcus virus BK5T" "AJ245616"
"Xylella virus Salvo" "NC_042345"
"Xylella virus Sano" "NC_042344"
"Caulobacter virus Sansa" "NC_047756"
"Enterococcus virus BC611" "NC_018086"
"Enterococcus virus IMEEF1" "NC_041959"
"Enterococcus virus SAP6" "NC_041960"
"Enterococcus virus VD13" "NC_041861"
"Streptococcus virus SPQS1" "NC_021868"
"Salmonella virus Sasha" "NC_047786"
"Corynebacterium virus BFK20" "NC_009799"
"Geobacillus virus Tp84" "NC_041918"
"Escherichia virus WGPS2" "NC_049941"
"Streptomyces virus Scap1" "NC_042042"
"Gordonia virus Schnabeltier" "NC_031255"
"Microbacterium virus Schubert" "NC_048144"
"Leuconostoc virus MH1" "HM596271"
"Pseudomonas virus 73" "NC_007806"
"Pseudomonas virus Ab26" "NC_024381"
"Pseudomonas virus Kakheti25" "NC_017864"
"Caulobacter virus Seuss" "NC_047757"
"Staphylococcus virus SEP9" "NC_023582"
"Staphylococcus virus Sextaec" "NC_024355"
"Lactococcus virus 340" "NC_021853"
"Lactococcus virus 712" "NC_008370"
"Lactococcus virus 936" "NC_049346"
"Lactococcus virus 05601" "NC_049397"
"Lactococcus virus 16802" "NC_049398"
"Lactococcus virus 10W18" "NC_049374"
"Lactococcus virus 13W11L" "NC_049377"
"Lactococcus virus 16W23" "NC_049373"
"Lactococcus virus 30804" "NC_049399"
"Lactococcus virus 37201" "NC_049400"
"Lactococcus virus 38503" "NC_049401"
"Lactococcus virus 38507" "NC_049402"
"Lactococcus virus 3R16S" "NC_049376"
"Lactococcus virus 51701" "NC_049403"
"Lactococcus virus 56003" "NC_049404"
"Lactococcus virus 56301" "NC_049405"
"Lactococcus virus 57001" "NC_049406"
"Lactococcus virus 62601" "NC_049407"
"Lactococcus virus 62605" "NC_049408"
"Lactococcus virus 63302" "NC_049409"
"Lactococcus virus 66901" "NC_049410"
"Lactococcus virus 79201" "NC_049411"
"Lactococcus virus 88605" "NC_049412"
"Lactococcus virus 8V08" "NC_049446"
"Lactococcus virus 96401" "NC_049413"
"Lactococcus virus 96403" "NC_049414"
"Lactococcus virus 96603" "NC_049415"
"Lactococcus virus ASCC191" "NC_017688"
"Lactococcus virus ASCC273" "NC_017695"
"Lactococcus virus ASCC281" "NC_017702"
"Lactococcus virus ASCC465" "NC_017698"
"Lactococcus virus ASCC532" "NC_017696"
"Lactococcus virus Bibb29" "NC_011046"
"Lactococcus virus bIBB5g1" "NC_049425"
"Lactococcus virus bIBBF12" "NC_049426"
"Lactococcus virus bIL170" "NC_001909"
"Lactococcus virus CaseusJM1" "NC_049351"
"Lactococcus virus CB13" "NC_013155"
"Lactococcus virus CB14" "NC_013152"
"Lactococcus virus CB19" "NC_013153"
"Lactococcus virus CHPC52" "NC_049483"
"Lactococcus virus CHPC129" "NC_049480"
"Lactococcus virus CHPC361" "NC_049481"
"Lactococcus virus CHPC362" "NC_049482"
"Lactococcus virus CHPC781" "NC_049484"
"Lactococcus virus CHPC958" "NC_049485"
"Lactococcus virus CHPC959" "NC_049486"
"Lactococcus virus CHPC964" "NC_049487"
"Lactococcus virus CHPC965" "NC_049488"
"Lactococcus virus fd13" "NC_049347"
"Lactococcus virus i0139" "NC_049375"
"Lactococcus virus jm2" "NC_021860"
"Lactococcus virus jm3" "NC_021854"
"Lactococcus virus LP0209" "NC_049422"
"Lactococcus virus LP0903" "NC_049423"
"Lactococcus virus LP8511" "NC_049416"
"Lactococcus virus LP9207" "NC_049417"
"Lactococcus virus LP9404" "NC_049418"
"Lactococcus virus LP9609" "NC_049419"
"Lactococcus virus LP9903" "NC_049420"
"Lactococcus virus LP9908" "NC_049421"
"Lactococcus virus LP1502a" "NC_049424"
"Lactococcus virus MP1" "NC_049434"
"Lactococcus virus MV10L" "NC_049447"
"Lactococcus virus P008" "NC_008363"
"Lactococcus virus p272" "NC_049348"
"Lactococcus virus P475" "NC_049349"
"Lactococcus virus P656" "NC_049475"
"Lactococcus virus P680" "NC_021852"
"Lactococcus virus P1532" "NC_049474"
"Lactococcus virus P4565" "NC_049476"
"Lactococcus virus phi7" "NC_021855"
"Lactococcus virus phi15" "NC_049352"
"Lactococcus virus Phi42" "NC_049362"
"Lactococcus virus Phi44" "NC_049363"
"Lactococcus virus Phi109" "NC_049360"
"Lactococcus virus phi145" "NC_049353"
"Lactococcus virus Phi155" "NC_049366"
"Lactococcus virus Phi193" "NC_049356"
"Lactococcus virus Phi512" "NC_049357"
"Lactococcus virus Phi91127" "NC_049364"
"Lactococcus virus PhiA16" "NC_049354"
"Lactococcus virus PhiB1127" "NC_049355"
"Lactococcus virus PhiE1127" "NC_049367"
"Lactococcus virus PhiF0139" "NC_049358"
"Lactococcus virus PhiJF1" "NC_049365"
"Lactococcus virus PhiL6" "NC_049361"
"Lactococcus virus PhiL18" "NC_049359"
"Lactococcus virus PhiLj" "NC_049369"
"Lactococcus virus PhiM1127" "NC_049368"
"Lactococcus virus PhiS0139" "NC_049370"
"Lactococcus virus R31" "NC_049381"
"Lactococcus virus sk1" "NC_001835"
"Lactococcus virus Sl4" "NC_028900"
"Bacillus virus Slash" "NC_022774"
"Bacillus virus Stahl" "NC_028856"
"Bacillus virus Staley" "NC_022767"
"Bacillus virus Stills" "NC_028777"
"Rhodococcus virus Sleepyhead" "NC_048782"
"Gordonia virus Bachita" "NC_030936"
"Gordonia virus ClubL" "NC_030901"
"Gordonia virus Smoothie" "NC_030696"
"Arthrobacter virus Sonali" "NC_048152"
"Gordonia virus Soups" "NC_030698"
"Gordonia virus Strosahl" "NC_041886"
"Gordonia virus Wait" "NC_042123"
"Gordonia virus Sour" "NC_042132"
"Oenococcus virus phi9805" "NC_023559"
"Oenococcus virus phiS11" "NC_023571"
"Oenococcus virus phiS13" "NC_023560"
"Mycobacterium virus Sparky" "NC_026597"
"Bacillus virus SPbeta" "NC_001884"
"Bacillus virus phi105" "NC_048631"
"Microbacterium virus Hyperion" "NC_047973"
"Microbacterium virus Squash" "NC_047975"
"Mycobacterium virus Squirty" "NC_026588"
"Burkholderia virus phi6442" "NC_009235"
"Burkholderia virus phi1026b" "NC_005284"
"Burkholderia virus phiE125" "NC_003309"
"Achromobacter virus 83-24" "NC_028834"
"Achromobacter virus JWX" "NC_028768"
"Lactobacillus virus T25" "NC_048625"
"Anoxybacillus virus A403" "NC_048701"
"Arthrobacter virus Tank" "NC_041961"
"Flavobacterium virus Tant" "NC_048843"
"Gordonia virus Suzy" "NC_047990"
"Gordonia virus Terapin" "NC_031001"
"Lactococcus virus AM6" "NC_049807"
"Lactococcus virus LW31" "NC_049806"
"Lactococcus virus P087" "NC_012663"
"Lactococcus virus P596" "NC_049808"
"Lactococcus virus phiQ1" "NC_049805"
"Mycobacterium virus Renaud18" "NC_048729"
"Mycobacterium virus TChen" "NC_048705"
"Mycobacterium virus ThetaBob" "NC_048788"
"Streptomyces virus TG1" "NC_018853"
"Mycobacterium virus Anaya" "NC_042031"
"Mycobacterium virus Angelica" "NC_014458"
"Mycobacterium virus CrimD" "NC_014459"
"Mycobacterium virus JAWS" "NC_042332"
"Mycobacterium virus Larva" "NC_023724"
"Mycobacterium virus MacnCheese" "NC_042338"
"Mycobacterium virus Pixie" "NC_042325"
"Mycobacterium virus TM4" "NC_003387"
"Tsukamurella virus TIN2" "NC_028865"
"Tsukamurella virus TIN3" "NC_028966"
"Rhodobacter virus RcSpartan" "NC_041963"
"Rhodobacter virus RcTitan" "NC_029097"
"Mycobacterium virus Tortellini" "NC_041888"
"Staphylococcus virus 47" "NC_007054"
"Staphylococcus virus 15644" "MG770897"
"Staphylococcus virus 3a" "NC_007053"
"Staphylococcus virus 42e" "NC_007052"
"Staphylococcus virus fPfSau02" "MK348510"
"Staphylococcus virus IPLA35" "NC_011612"
"Staphylococcus virus JS02" "LC541428"
"Staphylococcus virus LH1" "JX174275"
"Staphylococcus virus P240" "KY056620"
"Staphylococcus virus phi2" "NC_028862"
"Staphylococcus virus phi12" "NC_004616"
"Staphylococcus virus phi2958PVL" "NC_011344"
"Staphylococcus virus phiSLT" "NC_002661"
"Staphylococcus virus R1988" "NC_022758"
"Staphylococcus virus SA137ruMSSAST121PVL" "MH384261"
"Staphylococcus virus SAP11" "MK801681"
"Staphylococcus virus st1" "MF580410"
"Staphylococcus virus st5" "MG029509"
"Staphylococcus virus st30" "MG029511"
"Staphylococcus virus st78" "MG029514"
"Staphylococcus virus st121mssa" "MG029518"
"Staphylococcus virus StauST398-2" "NC_021323"
"Staphylococcus virus tp310-2" "NC_009762"
"Mycobacterium virus 32HC" "NC_023602"
"Rhodococcus virus Trina" "NC_042040"
"Gordonia virus Trine" "NC_047991"
"Arthrobacter virus TripleJ" "NC_049470"
"Flavobacterium virus 1H" "NC_031911"
"Flavobacterium virus 23T" "NC_041859"
"Flavobacterium virus 2A" "NC_031926"
"Flavobacterium virus 6H" "NC_021867"
"Lactococcus virus PLgW1" "KY888143"
"Streptomyces virus Lilbooboo" "NC_048155"
"Streptomyces virus Vash" "NC_048154"
"Lactococcus virus 50902" "NC_049810"
"Lactococcus virus 62503" "NC_049811"
"Lactococcus virus BM13" "NC_021861"
"Lactococcus virus P1045" "NC_049812"
"Lactococcus virus Q33" "NC_049809"
"Gordonia virus Vendetta" "NC_030911"
"Paracoccus virus Shpa" "NC_041868"
"Pantoea virus Vid5" "NC_042120"
"Acinetobacter virus B1251" "NC_019541"
"Acinetobacter virus R3177" "NC_041866"
"Gordonia virus Brandonk123" "NC_042108"
"Gordonia virus Lennon" "NC_042045"
"Gordonia virus Vivi2" "NC_031239"
"Bordetella virus CN1" "NC_047879"
"Bordetella virus CN2" "NC_047877"
"Bordetella virus FP1" "NC_047878"
"Bordetella virus MW2" "NC_047876"
"Bacillus virus BMBtp3" "NC_028748"
"Bacillus virus Waukesha92" "NC_025424"
"Bacillus virus Wbeta" "NC_007734"
"Rhodococcus virus Weasel" "NC_041887"
"Rhodococcus virus Whack" "NC_048784"
"Lactococcus virus 1358" "NC_027120"
"Mycobacterium virus Wildcat" "NC_008206"
"Streptomyces virus BillNye" "NC_042105"
"Gordonia virus Twister6" "NC_031052"
"Gordonia virus Wizard" "NC_030913"
"Gordonia virus Woes" "NC_030905"
"Streptomyces virus TP1604" "NC_028818"
"Streptomyces virus YDN12" "NC_028974"
"Roseobacter virus RDJL1" "NC_015466"
"Roseobacter virus RDJL2" "NC_041958"
"Xanthomonas virus OP1" "NC_007709"
"Xanthomonas virus Xop411" "NC_009543"
"Xanthomonas virus Xp10" "NC_004902"
"Arthrobacter virus Yang" "NC_048097"
"Klebsiella virus N137" "NC_048670"
"Klebsiella virus Seifer" "NC_048732"
"Klebsiella virus Soft" "NC_048805"
"Alphaproteobacteria virus phiJl001" "NC_006938"
"Pseudomonas virus LKO4" "NC_041934"
"Pseudomonas virus M6" "NC_007809"
"Pseudomonas virus MP1412" "NC_018282"
"Pseudomonas virus PAE1" "NC_028980"
"Pseudomonas virus Yua" "NC_010116"
"Gordonia virus Yvonnetastic" "NC_031230"
"Microbacterium virus Zeta1847" "NC_047992"
"Celeribacter virus P12053L" "NC_018280"
"Lentibacter virus ICBM1" "NC_048672"
"Roseobacter virus SIO1" "NC_002519"
"Lentibacter virus ICBM2" "NC_048671"
"Citrobacter virus CVT22" "NC_027988"
"Vibrio virus ICP2" "NC_015158"
"Pseudoalteromonas virus HP1" "NC_048630"
"Pseudoalteromonas virus RIO1" "NC_021300"
"Pseudomonas virus PA11" "NC_007808"
"Salinivibrio virus CW02" "NC_019540"
"Vibrio virus VpV262" "NC_003907"
"Paenibacillus virus Lily" "NC_028841"
"Vibrio virus CTXphi" "NC_015209"
"Vibrio virus KSF1" "NC_006294"
"Xanthomonas virus Cf1c" "NC_001396"
"Vibrio virus fs1" "NC_004306"
"Vibrio virus VGJ" "NC_004736"
"Ralstonia virus RS551" "NC_047765"
"Ralstonia virus RS603" "NC_025454"
"Ralstonia virus RSM1" "NC_008574"
"Ralstonia virus RSM3" "NC_011399"
"Escherichia virus If1" "NC_001954"
"Escherichia virus M13" "NC_003287"
"Escherichia virus I22" "NC_001332"
"Salmonella virus IKe" "NC_002014"
"Ralstonia virus PE226" "NC_015297"
"Pseudomonas virus Pf1" "NC_001331"
"Stenotrophomonas virus PSH1" "NC_010429"
"Ralstonia virus RSS1" "NC_008575"
"Vibrio virus fs2" "NC_001956"
"Vibrio virus VFJ" "NC_021562"
"Stenotrophomonas virus SMA6" "NC_043029"
"Stenotrophomonas virus SMA9" "NC_007189"
"Stenotrophomonas virus SMA7" "NC_021569"
"Pseudomonas virus Pf3" "NC_001418"
"Vibrio virus VfO3K6" "NC_002362"
"Vibrio virus VCY" "NC_016162"
"Vibrio virus Vf33" "NC_005948"
"Xanthomonas virus Xf109" "NC_043028"
"Propionibacterium virus B5" "NC_003460"
"Thermus virus OH3" "NC_045425"
"Acholeplasma virus L51" "NC_001341"
"Spiroplasma virus SVTS2" "NC_001270"
"Spiroplasma virus C74" "NC_003793"
"Spiroplasma virus R8A2B" "NC_001365"
"Spiroplasma virus SkV1CR23x" "NC_009987"
"Escherichia virus alpha3" "NC_001330"
"Escherichia virus ID21" "NC_007818"
"Escherichia virus ID32" "NC_007819"
"Escherichia virus ID62" "NC_007824"
"Escherichia virus NC28" "NC_007823"
"Escherichia virus NC29" "NC_007827"
"Escherichia virus NC35" "NC_007820"
"Escherichia virus phiK" "NC_001730"
"Escherichia virus St1" "NC_012868"
"Escherichia virus WA45" "NC_007822"
"Escherichia virus G4" "NC_001420"
"Escherichia virus ID52" "NC_007825"
"Escherichia virus Talmos" "NC_007817"
"Escherichia virus phiX174" "NC_001422"
"Bdellovibrio virus MH2K" "NC_002643"
"Chlamydia virus Chp1" "NC_001741"
"Chlamydia virus Chp2" "NC_002194"
"Chlamydia virus CPAR39" "NC_002180"
"Chlamydia virus CPG1" "NC_001998"
"Enterogokushovirus EC6098" "NC_048874"
"Spiroplasma virus SpV4" "NC_003438"
"Bombyx mori bidensovirus" "A: NC_038377; B: NC_038376"
"Acerodon celebensis polyomavirus 1" "NC_038554"
"Apodemus flavicollis polyomavirus 1" "MG654476"
"Artibeus planirostris polyomavirus 2" "NC_038555"
"Artibeus planirostris polyomavirus 3" "NC_038556"
"Ateles paniscus polyomavirus 1" "NC_019853"
"Callosciurus erythraeus polyomavirus 1" "MK671087"
"Cardioderma cor polyomavirus 1" "NC_020067"
"Carollia perspicillata polyomavirus 1" "NC_028120"
"Chlorocebus pygerythrus polyomavirus 1" "NC_019844"
"Chlorocebus pygerythrus polyomavirus 3" "NC_025898"
"Dobsonia moluccensis polyomavirus 1" "NC_026768"
"Eidolon helvum polyomavirus 1" "NC_020068"
"Gorilla gorilla polyomavirus 1" "NC_025380"
"Human polyomavirus 5" "NC_010277"
"Human polyomavirus 8" "NC_014361"
"Human polyomavirus 9" "NC_015150"
"Human polyomavirus 13" "NC_024118"
"Human polyomavirus 14" "NC_034253"
"Macaca fascicularis polyomavirus 1" "NC_019851"
"Mastomys natalensis polyomavirus 2" "MG701350"
"Mastomys natalensis polyomavirus 3" "MN417229"
"Mesocricetus auratus polyomavirus 1" "NC_001663"
"Miniopterus schreibersii polyomavirus 1" "NC_034220"
"Miniopterus schreibersii polyomavirus 2" "NC_034221"
"Molossus molossus polyomavirus 1" "NC_028123"
"Mus musculus polyomavirus 1" "NC_001515"
"Otomops martiensseni polyomavirus 1" "NC_020071"
"Otomops martiensseni polyomavirus 2" "NC_020066"
"Pan troglodytes polyomavirus 1" "NC_014743"
"Pan troglodytes polyomavirus 2" "NC_025368"
"Pan troglodytes polyomavirus 3" "NC_025370"
"Pan troglodytes polyomavirus 4" "NC_019855"
"Pan troglodytes polyomavirus 5" "NC_019856"
"Pan troglodytes polyomavirus 6" "NC_019857"
"Pan troglodytes polyomavirus 7" "NC_019858"
"Papio cynocephalus polyomavirus 1" "NC_025894"
"Philantomba monticola polyomavirus 1" "NC_040705"
"Piliocolobus badius polyomavirus 1" "NC_039051"
"Piliocolobus rufomitratus polyomavirus 1" "NC_019850"
"Pongo abelii polyomavirus 1" "NC_028127"
"Pongo pygmaeus polyomavirus 1" "NC_013439"
"Procyon lotor polyomavirus 1" "NC_023845"
"Pteropus vampyrus polyomavirus 1" "NC_026767"
"Rattus norvegicus polyomavirus 1" "NC_027531"
"Sorex araneus polyomavirus 1" "MF374997"
"Sorex coronatus polyomavirus 1" "MF374999"
"Sorex minutus polyomavirus 1" "MF401583"
"Sturnira lilium polyomavirus 1" "NC_038557"
"Sus scrofa polyomavirus 1" "NC_040"
"Tupaia belangeri polyomavirus 1" "MK443498"
"Tupaia glis polyomavirus 1" "NC_040566"
"Acerodon celebensis polyomavirus 2" "NC_026762"
"Artibeus planirostris polyomavirus 1" "NC_038558"
"Callosciurus prevostii polyomavirus 1" "MK883808"
"Canis familiaris polyomavirus 1" "NC_034456"
"Cebus albifrons polyomavirus 1" "NC_019854"
"Cercopithecus erythrotis polyomavirus 1" "NC_025892"
"Chlorocebus pygerythrus polyomavirus 2" "NC_025896"
"Desmodus rotundus polyomavirus 1" "NC_028122"
"Dobsonia moluccensis polyomavirus 2" "NC_026770"
"Dobsonia moluccensis polyomavirus 3" "NC_026769"
"Enhydra lutris polyomavirus 1" "NC_025259"
"Equus caballus polyomavirus 1" "NC_017982"
"Glis glis polyomavirus 1" "NC_040821"
"Human polyomavirus 1" "NC_001538"
"Human polyomavirus 2" "NC_001699"
"Human polyomavirus 3" "NC_009238"
"Human polyomavirus 4" "NC_009539"
"Leptonychotes weddellii polyomavirus 1" "NC_032120"
"Lepus granatensis polyomavirus 1" "MN994868"
"Loxodonta africana polyomavirus 1" "NC_022519"
"Macaca mulatta polyomavirus 1" "NC_001669"
"Mastomys natalensis polyomavirus 1" "NC_025895"
"Meles meles polyomavirus 1" "NC_026473"
"Microtus arvalis polyomavirus 1" "NC_028119"
"Miniopterus africanus polyomavirus 1" "NC_020069"
"Mus musculus polyomavirus 2" "KT987216"
"Mus musculus polyomavirus 3" "MF175082"
"Myodes glareolus polyomavirus 1" "NC_028117"
"Myotis lucifugus polyomavirus 1" "NC_011310"
"Pan troglodytes polyomavirus 8" "NC_028635"
"Panthera leo polyomavirus 1" "NC_040822"
"Papio cynocephalus polyomavirus 2" "NC_025897"
"Pteronotus davyi polyomavirus 1" "NC_020070"
"Pteronotus parnellii polyomavirus 1" "NC_028121"
"Rattus norvegicus polyomavirus 2" "KX574453"
"Rousettus aegyptiacus polyomavirus 1" "NC_034219"
"Saimiri boliviensis polyomavirus 1" "NC_009951"
"Saimiri sciureus polyomavirus 1" "NC_038559"
"Sciurus carolinensis polyomavirus 1" "MK671101"
"Vicugna pacos polyomavirus 1" "NC_034251"
"Zalophus californianus polyomavirus 1" "NC_013796"
"Ailuropoda melanoleuca polyomavirus 1" "NC_035181"
"Canis lupus polyomavirus 1" "MG701355"
"Human polyomavirus 6" "NC_014406"
"Human polyomavirus 7" "NC_014407"
"Human polyomavirus 10" "NC_018102"
"Human polyomavirus 11" "NC_020106"
"Procyon lotor polyomavirus 2" "NC_034378"
"Bos taurus polyomavirus 1" "NC_001442"
"Capra aegragus polyomavirus 1" "MG654479"
"Potamochoerus porcus polyomavirus 1" "NC_040634"
"Anser anser polyomavirus 1" "NC_004800"
"Aves polyomavirus 1" "NC_004764"
"Corvus monedula polyomavirus 1" "NC_007922"
"Cracticus torquatus polyomavirus 1" "NC_023008"
"Erythrura gouldiae polyomavirus 1" "NC_039052"
"Lonchura maja polyomavirus 1" "NC_039053"
"Pygoscelis adeliae polyomavirus 1" "NC_026141"
"Pyrrhula pyrrhula polyomavirus 1" "NC_007923"
"Serinus canaria polyomavirus 1" "NC_017085"
